ticker,price,growth_score,growth_rating,growth_reasons
NVDA,210.69,85,HIGH GROWTH,Explosive revenue growth over 50% (+25) | Strong earnings growth over 30% (+15) | Upper half of 52-week range (+10) | Low short interest (+5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
GOOGL,368.03,77,HIGH GROWTH,Solid revenue growth over 15% (+12) | Strong earnings growth over 30% (+15) | Near 52-week high — strong momentum (+15) | Low short interest (+5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
META,577.22,70,HIGH GROWTH,Strong revenue growth over 30% (+20) | Strong earnings growth over 30% (+15) | Near 52-week low — weak momentum (0) | Low short interest (+5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
AAPL,298.01,65,GROWTH,Solid revenue growth over 15% (+12) | Earnings growth over 10% (+8) | Near 52-week high — strong momentum (+15) | Low short interest (+5) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
SNDK,2184.75,60,GROWTH,Explosive revenue growth over 50% (+25) | Near 52-week high — strong momentum (+15) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
NBIS,286.69,60,GROWTH,Explosive revenue growth over 50% (+25) | Near 52-week high — strong momentum (+15) | High short interest — volatility risk (-5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Positive analyst consensus (+5)
JPM,325.22,58,GROWTH,Positive revenue growth (+5) | Earnings growth over 10% (+8) | Near 52-week high — strong momentum (+15) | Low short interest (+5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Positive analyst consensus (+5)
AME,237.42,58,GROWTH,Positive revenue growth (+5) | Earnings growth over 10% (+8) | Near 52-week high — strong momentum (+15) | Low short interest (+5) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
MSFT,379.4,55,GROWTH,Solid revenue growth over 15% (+12) | Earnings growth over 10% (+8) | Near 52-week low — weak momentum (0) | Low short interest (+5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
SOFI,17.91,55,GROWTH,Strong revenue growth over 30% (+20) | Strong earnings growth over 30% (+15) | Near 52-week low — weak momentum (0) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10)
LNT,73.0,48,EMERGING,Positive revenue growth (+5) | Earnings growth positive (+3) | Near 52-week high — strong momentum (+15) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
HOOD,108.15,45,EMERGING,Solid revenue growth over 15% (+12) | Earnings growth positive (+3) | Low short interest (+5) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10) | Strong analyst buy consensus (+10)
AMP,467.43,45,EMERGING,Positive revenue growth (+5) | Strong earnings growth over 30% (+15) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Positive analyst consensus (+5)
LYFT,14.28,40,EMERGING,Positive revenue growth (+5) | Strong earnings growth over 30% (+15) | Near 52-week low — weak momentum (0) | High short interest — volatility risk (-5) | Reasonable PEG for growth rate (+10) | Healthy margin despite growth focus (+10) | Positive analyst consensus (+5)
NET,224.06,40,EMERGING,Strong revenue growth over 30% (+20) | Low short interest (+5) | Acceptable PEG for high growth (+5) | Strong analyst buy consensus (+10)
MRNA,63.96,40,EMERGING,Explosive revenue growth over 50% (+25) | Near 52-week high — strong momentum (+15)
RBLX,51.53,35,EMERGING,Strong revenue growth over 30% (+20) | Near 52-week low — weak momentum (0) | Low short interest (+5) | Strong analyst buy consensus (+10)
AMGN,337.6,33,EMERGING,Positive revenue growth (+5) | Earnings growth positive (+3) | Low short interest (+5) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10) | Positive analyst consensus (+5)
NKE,45.2,25,WEAK MOMENTUM,Positive revenue growth (+5) | Near 52-week low — weak momentum (0) | Reasonable PEG for growth rate (+10) | Profitable (+5) | Positive analyst consensus (+5)
LMND,58.84,25,WEAK MOMENTUM,Explosive revenue growth over 50% (+25)
AWK,125.07,20,WEAK MOMENTUM,Positive revenue growth (+5) | Near 52-week low — weak momentum (0) | Acceptable PEG for high growth (+5) | Healthy margin despite growth focus (+10)
